model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,use_distinct_agents,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,seed,convergence_cycle,speaking_mode,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
consensus,unknown,52,0,0,0.3,0.5,0.6,0.1,false,0.1,0.0,0.0,0.2,4432464224430073900.0,100,true,0.0,0.0,0.0,0.0,0,0,0.09999999999999998,0.0
consensus,unknown,52,0,0,0.3,0.5,0.6,0.1,false,0.1,0.0,0.0,0.2,6603758411652679700.0,100,true,0.0,0.0,0.0,0.0,0,0,0.09999999999999998,0.0
consensus,unknown,52,0,0,0.3,0.5,0.6,0.1,false,0.1,0.0,0.0,0.2,4210327001835109400.0,100,true,0.0,0.0,0.0,0.0,0,0,0.09999999999999998,0.0
consensus,unknown,52,0,0,0.3,0.5,0.6,0.1,false,0.1,0.0,0.0,0.2,4725690850412381200.0,100,true,0.0,0.0,0.0,0.0,0,0,0.09999999999999998,0.0
consensus,unknown,52,0,0,0.3,0.5,0.6,0.1,false,0.1,0.0,0.0,0.2,4898716312282833900.0,100,true,0.0,0.0,0.0,0.0,0,0,0.09999999999999998,0.0
consensus,unknown,52,0,0,0.3,0.5,0.6,0.1,false,0.1,0.0,0.0,0.2,5956375827241809900.0,100,true,0.0,0.0,0.0,0.0,0,0,0.09999999999999998,0.0
consensus,homogeneous,5,0,6,0.3,0.8,0.8,0.3,false,0.0,0.1,0.2,0.05,8151887465685377000.0,25,true,0.0,0.10611246470304996,0.00000298952072212,0.00000187504164617,1,4,0.0,0.0
consensus,homogeneous,5,0,6,0.3,0.8,0.8,0.3,false,0.0,0.1,0.2,0.05,599260260783050750.0,25,true,0.0,0.10080782745891263,0.00000298952072212,0.00000187504164617,1,4,0.0,0.0
consensus,homogeneous,5,0,6,0.3,0.8,0.8,0.3,false,0.0,0.1,0.2,0.05,5108037849753243600.0,25,true,0.0,0.11837218436512047,0.00000298952072212,0.00000187504164617,1,4,0.0,0.0
consensus,homogeneous,5,0,6,0.3,0.8,0.8,0.3,false,0.0,0.1,0.2,0.05,3165118706031121400.0,25,true,0.0,0.10762960976247278,0.00000298952072212,0.00000187504164617,1,4,0.0,0.0
consensus,homogeneous,5,0,6,0.3,0.8,0.8,0.3,false,0.0,0.1,0.2,0.05,5576601392690618400.0,25,true,0.0,0.10749097610156322,0.00000298952072212,0.00000187504164617,1,4,0.0,0.0
consensus,homogeneous,5,0,6,0.3,0.8,0.8,0.3,false,0.0,0.1,0.2,0.05,3413911939801646100.0,25,true,0.0,0.0928047799735564,0.00000298952072212,0.00000187504164617,1,4,0.0,0.0
consensus,homogeneous,5,0,6,0.3,0.8,0.8,0.3,false,0.0,0.1,0.2,0.05,7500710846097874900.0,25,true,0.0,0.10209946281125624,0.00000298952072212,0.00000187504164617,1,4,0.0,0.0
consensus,homogeneous,5,0,6,0.3,0.8,0.8,0.3,false,0.0,0.1,0.2,0.05,3794282318118145000.0,25,true,0.0,0.11145923270608987,0.00000298952072212,0.00000187504164617,1,4,0.0,0.0
consensus,homogeneous,5,0,6,0.3,0.8,0.8,0.3,false,0.0,0.1,0.2,0.05,7179043909987328000.0,25,true,0.0,0.11928167229024837,0.00000298952072212,0.00000187504164617,1,4,0.0,0.0
consensus,homogeneous,5,0,6,0.3,0.8,0.8,0.3,false,0.0,0.1,0.2,0.05,4210327001835109400.0,25,true,0.0,0.10191350167033812,0.00000298952072212,0.00000187504164617,1,4,0.0,0.0
consensus,homogeneous,5,0,6,0.3,0.8,0.8,0.3,false,0.0,0.1,0.2,0.05,4432464224430073900.0,25,true,0.0,0.10352182803971688,0.00000298952072212,0.00000187504164617,1,4,0.0,0.0
consensus,homogeneous,5,0,6,0.3,0.8,0.8,0.3,false,0.0,0.1,0.2,0.05,6603758411652679700.0,25,true,0.0,0.0859557427536138,0.00000298952072212,0.00000187504164617,1,4,0.0,0.0
consensus,homogeneous,5,0,6,0.3,0.8,0.8,0.3,false,0.0,0.1,0.2,0.05,5956375827241809900.0,25,true,0.0,0.11018741661845055,0.00000298952072212,0.00000187504164617,1,4,0.0,0.0
consensus,homogeneous,5,0,6,0.3,0.8,0.8,0.3,false,0.0,0.1,0.2,0.05,4725690850412381200.0,25,true,0.0,0.08837301306297891,0.00000298952072212,0.00000187504164617,1,4,0.0,0.0
consensus,homogeneous,5,0,6,0.3,0.8,0.8,0.3,false,0.0,0.1,0.2,0.05,4898716312282833900.0,25,true,0.0,0.13764225440416347,0.00000298952072212,0.00000187504164617,1,4,0.0,0.0
consensus,unknown,50,0,0,0.1,0.6,0.5,0.3,false,0.0,0.1,0.3,0.1,599260260783050750.0,100,true,0.0,0.0,0.0,0.0,0,0,-0.09999999999999998,0.0
consensus,unknown,50,0,0,0.1,0.6,0.5,0.3,false,0.0,0.1,0.3,0.1,8151887465685377000.0,100,true,0.0,0.0,0.0,0.0,0,0,-0.09999999999999998,0.0
consensus,unknown,50,0,0,0.1,0.6,0.5,0.3,false,0.0,0.1,0.3,0.1,3165118706031121400.0,100,true,0.0,0.0,0.0,0.0,0,0,-0.09999999999999998,0.0
consensus,unknown,50,0,0,0.1,0.6,0.5,0.3,false,0.0,0.1,0.3,0.1,5108037849753243600.0,100,true,0.0,0.0,0.0,0.0,0,0,-0.09999999999999998,0.0
consensus,unknown,50,0,0,0.1,0.6,0.5,0.3,false,0.0,0.1,0.3,0.1,3413911939801646100.0,100,true,0.0,0.0,0.0,0.0,0,0,-0.09999999999999998,0.0
consensus,unknown,50,0,0,0.1,0.6,0.5,0.3,false,0.0,0.1,0.3,0.1,3794282318118145000.0,100,true,0.0,0.0,0.0,0.0,0,0,-0.09999999999999998,0.0
consensus,unknown,50,0,0,0.1,0.6,0.5,0.3,false,0.0,0.1,0.3,0.1,7500710846097874900.0,100,true,0.0,0.0,0.0,0.0,0,0,-0.09999999999999998,0.0
consensus,unknown,50,0,0,0.1,0.6,0.5,0.3,false,0.0,0.1,0.3,0.1,5576601392690618400.0,100,true,0.0,0.0,0.0,0.0,0,0,-0.09999999999999998,0.0
consensus,unknown,50,0,0,0.1,0.6,0.5,0.3,false,0.0,0.1,0.3,0.1,6603758411652679700.0,100,true,0.0,0.0,0.0,0.0,0,0,-0.09999999999999998,0.0
consensus,unknown,50,0,0,0.1,0.6,0.5,0.3,false,0.0,0.1,0.3,0.1,4210327001835109400.0,100,true,0.0,0.0,0.0,0.0,0,0,-0.09999999999999998,0.0
consensus,unknown,50,0,0,0.1,0.6,0.5,0.3,false,0.0,0.1,0.3,0.1,4432464224430073900.0,100,true,0.0,0.0,0.0,0.0,0,0,-0.09999999999999998,0.0
consensus,unknown,50,0,0,0.1,0.6,0.5,0.3,false,0.0,0.1,0.3,0.1,7179043909987328000.0,100,true,0.0,0.0,0.0,0.0,0,0,-0.09999999999999998,0.0
consensus,unknown,50,0,0,0.1,0.6,0.5,0.3,false,0.0,0.1,0.3,0.1,4898716312282833900.0,100,true,0.0,0.0,0.0,0.0,0,0,-0.09999999999999998,0.0
consensus,unknown,50,0,0,0.1,0.6,0.5,0.3,false,0.0,0.1,0.3,0.1,4725690850412381200.0,100,true,0.0,0.0,0.0,0.0,0,0,-0.09999999999999998,0.0
consensus,unknown,50,0,0,0.1,0.6,0.5,0.3,false,0.0,0.1,0.3,0.1,5956375827241809900.0,100,true,0.0,0.0,0.0,0.0,0,0,-0.09999999999999998,0.0
