model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,use_distinct_agents,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,seed,convergence_cycle,speaking_mode,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs,homophily_strength
clustering,heterogeneous,1,3,3,0.1,0.3,0.2,0.1,true,0.0,0.3,0.1,0.05,4398895106259038200.0,90,true,0.0,0.17054456023719058,0.00007150438013356,0.00008454830404215,1,3,-0.09999999999999998,0.0,0.5
clustering,heterogeneous,19,2,2,0.1,0.6,0.6,0.3,true,0.05,0.3,0.1,0.05,7240713591891685400.0,50,true,0.0,0.14631210391624394,0.00017535945977471,0.00008137969889521,1,3,0.0,0.0,1.0
clustering,heterogeneous,20,2,3,0.1,0.4,0.5,0.1,true,0.05,0.2,0.1,0.05,7240713591891685400.0,30,true,0.0,0.11550302452283467,0.00327216415268266,0.00391343403003756,2,3,0.09999999999999998,0.0,0.7
clustering,heterogeneous,19,2,2,0.1,0.6,0.6,0.3,true,0.05,0.3,0.1,0.05,4692690466958798800.0,50,true,0.0,0.1453373875061854,0.00021237745883025,0.00010410941316247,2,3,0.0,0.0,1.0
clustering,heterogeneous,19,2,2,0.1,0.6,0.6,0.3,true,0.05,0.3,0.1,0.05,4398895106259038200.0,40,true,0.0,0.1441547397366452,0.00022482490030133,0.00011980708614007,1,3,0.0,0.0,1.0
clustering,homogeneous,50,0,6,0.5,0.6,0.8,0.1,true,0.0,0.1,0.1,0.05,7139002048363152400.0,15,true,0.0,0.0659384316223386,0.00000080512261929,0.00000049728979286,1,3,0.20000000000000007,0.0,0.0
clustering,homogeneous,50,0,6,0.5,0.6,0.8,0.1,true,0.0,0.1,0.1,0.05,4692690466958798800.0,15,true,0.0,0.08138497702294646,0.00000080512261929,0.00000049728979286,1,3,0.20000000000000007,0.0,0.0
clustering,homogeneous,50,0,6,0.5,0.6,0.8,0.1,true,0.0,0.1,0.1,0.05,7240713591891685400.0,15,true,0.0,0.07915580697307524,0.00000080512261929,0.00000049728979286,1,3,0.20000000000000007,0.0,0.0
clustering,homogeneous,50,0,6,0.5,0.6,0.8,0.1,true,0.0,0.1,0.1,0.05,8636175130330607600.0,15,true,0.0,0.08072778305884427,0.00000080512261929,0.00000049728979286,1,3,0.20000000000000007,0.0,0.0
clustering,homogeneous,50,0,6,0.5,0.6,0.8,0.1,true,0.0,0.1,0.1,0.05,6905470370856337400.0,15,true,0.0,0.07623151341577328,0.00000080512261929,0.00000049728979286,1,3,0.20000000000000007,0.0,0.0
