model_type,current_condition,selected_debate_id,debate_label,current_experiment_id,use_distinct_agents,speaking_mode,seed,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,convergence_cycle,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
consensus,heterogeneous,32,M30,cons_dist_speak,true,true,7240713591891685400.0,0,0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,15,0.01686903435070872,0.01360337896428541,0.01451299668276398,0.00910693199241604,2,2,0.0,0.0
bipolarization,homogeneous,3,H14,bipol_dist_speak,true,true,8636175130330607600.0,0,0,0.02,0.3,0.7,0.05,0.0,0.02,0.02,0.02,20,0.00370154361175412,0.04146670031373025,0.00218997779950236,0.00163950674366872,2,2,0.39999999999999997,0.0
clustering,heterogeneous,37,M36,clst_dist_nospeak,true,false,6905470370856337400.0,0,0,0.005,0.6,0.0,0.0,0.005,0.01,0.0,0.0,90,0.02855030368548523,0.13665683792775515,0.00250939040993877,0.00120953922637246,2,4,0.0,0.0
clustering,heterogeneous,30,M28,clst_dist_speak,true,true,8636175130330607600.0,0,0,0.02,0.5,0.0,0.0,0.005,0.0,0.0,0.0,25,0.02593274109975132,0.05369757655075019,0.01970987027495111,0.01101745576586191,3,3,0.0,0.0
clustering,heterogeneous,22,M2,clst_ndist_speak,false,true,6905470370856337400.0,0,0,0.005,0.6,0.0,0.0,0.05,0.1,0.1,0.05,15,0.03720528978052128,0.04461943565237581,0.03568495187264726,0.02296322009274246,4,4,0.0,0.0
clustering,heterogeneous,30,M28,clst_ndist_nospeak,false,false,4692690466958798800.0,0,0,0.02,0.5,0.0,0.0,0.05,0.1,0.1,0.05,70,0.02593274109975132,0.10583492436972482,0.00059712391741901,0.00034423540043472,1,3,0.0,0.0
bipolarization,homogeneous,2,H12,bipol_ndist_nospeak,false,false,8636175130330607600.0,0,0,0.01,0.2,0.7,0.05,0.05,0.1,0.1,0.05,55,0.00771504468878602,0.02222961925226655,0.00214094742203362,0.00161088491523031,2,3,0.49999999999999994,0.0
consensus,heterogeneous,30,M28,cons_dist_nospeak,true,false,8636175130330607600.0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.02593274109975132,0.12108544882392573,0.00005076848265313,0.0000096333193664,1,3,0.0,0.0
bipolarization,heterogeneous,19,M15,bipol_dist_nospeak,true,false,4692690466958798800.0,0,0,0.01,0.1,0.7,0.05,0.005,0.01,0.01,0.005,15,0.02458731638660266,0.0416338277850512,0.0243277863061712,0.01642711440579982,5,5,0.6,0.0
bipolarization,homogeneous,2,H12,bipol_ndist_nospeak,false,false,7139002048363152400.0,0,0,0.01,0.2,0.4,0.1,0.05,0.1,0.1,0.05,55,0.00771504468878602,0.02222961925226655,0.00214094742203362,0.00161088491523031,2,3,0.2,0.0
